,Oceanic piscivorous fish,Herbivorous demersal fish,Meiobenthos,Deep demersal fish,Nanoplankton,Detritus,Macrozoobenthos,Deposit feeders,Benthivores,Mesozooplankton,Toothed whales and dolphins,Microzooplankton,Bacteria,Nano-Picoplankton,Baleen whales,Marine reptiles,Benthic filter feeders,Piscivores,Prawns,Skates and rays,Mesopelagic fish,Benthic grazers,Microplankton,Seabirds,Shallow demersal fish,Larvaceans,Jellyfish,Planktivores,Demersal sharks,Macroalgae,Benthic infaunal carnivores,Seagrass,Cephalopods,Pelagic sharks
Oceanic piscivorous fish,0.13,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.021276595744680847,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.0,0.12068965517241377,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.3535353535353535
Herbivorous demersal fish,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595744680847,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.1408045977011494,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep demersal fish,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.010638297872340424,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.050505050505050504
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.2525252525252525,0.3,0.0,0.02,0.0,0.61,0.6153846153846154,0.45,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.05,0.12,0.2,0.0,0.0
Macrozoobenthos,0.02,0.03,0.0,0.15,0.0,0.0,0.060606060606060594,0.0,0.3723404255319148,0.0,0.01,0.0,0.0,0.0,0.0,0.16666666666666663,0.01,0.045977011494252866,0.19999999999999996,0.2,0.0,0.0,0.0,0.06,0.03,0.0,0.24,0.0,0.15,0.0,0.14,0.0,0.06,0.0
Deposit feeders,0.0,0.05,0.06666666666666667,0.0,0.0,0.0,0.060606060606060594,0.0,0.042553191489361694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.05,0.08,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.06,0.0,0.0,0.0
Benthivores,0.03,0.0,0.0,0.0,0.0,0.0,0.0707070707070707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18390804597701146,0.0,0.25,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.04,0.1515151515151515
Mesozooplankton,0.06,0.12,0.0,0.08,0.0,0.0,0.0,0.0,0.1382978723404255,0.28,0.0,0.0,0.0,0.11,0.45,0.05555555555555555,0.34,0.11494252873563215,0.24999999999999994,0.05,0.24,0.02,0.0,0.05,0.23,0.0,0.37,0.5555555555555555,0.03,0.0,0.08,0.2,0.04,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101010101010101
Microzooplankton,0.47,0.05,0.13333333333333333,0.0,0.0,0.0,0.010101010101010098,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
Bacteria,0.0,0.02,0.3333333333333333,0.0,0.5,0.0,0.0,0.2,0.0,0.05,0.0,0.02,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.010638297872340425,0.0,0.0,0.0,0.0,0.02222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
Nano-Picoplankton,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.23076923076923075,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.1276595744680851,0.0,0.0,0.14,0.0,0.02222222222222222,0.0,0.95,0.0,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101010101010101
Benthic filter feeders,0.01,0.15,0.0,0.1,0.0,0.0,0.11111111111111109,0.0,0.12765957446808507,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888888,0.0,0.008620689655172412,0.14999999999999997,0.15,0.0,0.12,0.0,0.0,0.01,0.0,0.0,0.02222222222222222,0.0,0.0,0.21,0.0,0.22,0.0
Piscivores,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595744680847,0.0,0.08,0.0,0.0,0.0,0.0,0.27777777777777773,0.0,0.09770114942528733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.10101010101010101
Prawns,0.02,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.021276595744680847,0.0,0.02,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.011494252873563216,0.04999999999999999,0.0,0.0,0.02,0.0,0.07,0.02,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.07,0.0303030303030303
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0202020202020202
Mesopelagic fish,0.01,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Benthic grazers,0.01,0.04,0.0,0.0,0.0,0.0,0.08080808080808079,0.0,0.06382978723404253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689655172413793,0.04999999999999999,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02222222222222222,0.0,0.0,0.06,0.0,0.09,0.0
Microplankton,0.0,0.08,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.3,0.15384615384615385,0.11,0.0,0.0,0.36,0.0,0.04999999999999999,0.0,0.08,0.0,0.7872340425531914,0.0,0.0,0.81,0.24,0.19999999999999996,0.0,0.0,0.11,0.0,0.0,0.0
Seabirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shallow demersal fish,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170212,0.0,0.04,0.0,0.0,0.0,0.05,0.0,0.0,0.05747126436781608,0.0,0.0,0.15,0.0,0.0,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0404040404040404
Larvaceans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.12,0.02222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
Jellyfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Planktivores,0.12,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.05319148936170212,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.146551724137931,0.0,0.1,0.0,0.0,0.0,0.35,0.05,0.0,0.03,0.04444444444444444,0.08,0.0,0.0,0.4,0.0,0.0808080808080808
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.35,0.0,0.0,0.25,0.0,0.33333333333333326,0.3,0.03191489361702127,0.0,0.0,0.01,0.0,0.0,0.0,0.033333333333333326,0.04,0.0,0.09999999999999998,0.0,0.0,0.26,0.0,0.0,0.06,0.0,0.0,0.06666666666666665,0.0,0.0,0.04,0.0,0.0,0.0
Benthic infaunal carnivores,0.0,0.01,0.0,0.02,0.0,0.0,0.020202020202020197,0.0,0.021276595744680847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02222222222222222,0.0,0.0,0.06,0.0,0.12,0.0
Seagrass,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.029999999999999992,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Cephalopods,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.08,0.0,0.0,0.002873563218390804,0.04999999999999999,0.12,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.06,0.050505050505050504
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10101010101010101
